acc_id,acc_date,acc_state,acc_city,fix_port,source,bus_type,industry_sector,device_category,device_type,tradename_or_generic,manufacturer,num_injured,age_youngest,gender,acc_desc,injury_desc,report,category,mechanical,op_error,employee,notes
912065,4/17/2004,FL,Panama City,F,Florida Dept. of Agriculture,Water park,amusement ride,cars & track rides,Bumper car,bumper cars,,1,30,F,A 30 year old female complained of neck and back pain after ramming the wall two or three times in a bumper car at *** in Panama City.,Neck and back pain.,,Body pain (normal motion),,,,There were no discrepancies found on follow up inspection.
912376,4/17/2004,MI,Howell,F,Michigan Dept. of Labor and Economic Growth,Family entertainment center,recreation,go-kart,Go-kart,go kart,,1,7,U,Loose restraint.,Scrape under arm,,Seatbelt abrasion or bruising,,,,
917637,4/17/2004,CA,Anaheim,F,California Division of Occupational Safety and Health,Amusement park,amusement ride,cars & track rides,Track ride,dark ride,In-house,1,40,F,Lap bar was lowered inuring guest's hand,,,Load/Unload: hit or pinched by restraint,,,,
920099,4/17/2004,CA,Vallejo,F,California Division of Occupational Safety and Health,Amusement park,amusement ride,coaster,Coaster - steel,steel sitdown coaster,Schwarzkopf  Rides,1,,U,Unknown,Unknown,,Unknown (not enough info),,,,
914005,4/16/2004,NJ,Rutherford,P,New Jersey Dept. of Community Affairs,Carnival or rental,amusement ride,spinning,Sizzler/scrambler,Scrambler,Eli Bridge Co.,1,11,M,"Three boys were getting into seat, one of the boys pulled the seat bar striking third boys head. Parent took boy home. Boy was back next day on same ride.",,,Load/Unload: hit or pinched by restraint,,,,Rider Hit by Others
917213,4/16/2004,CA,San Diego,F,California Division of Occupational Safety and Health,Amusement park,amusement ride,coaster,Coaster - wooden,wooden coaster,Morgan,1,30,F,At the time of alleged incident we were not notified. I received an email from a guest who rode the roller coaster complaining of a headache and neck pain.,headache and neck pain,,Body pain (normal motion),,,,
919813,4/14/2004,CA,Santa Clara,F,California Division of Occupational Safety and Health,Amusement park,amusement ride,spinning,Swing ride,Flying Scooters,Larson International Inc.,1,,U,Unknown,Unknown,,Unknown (not enough info),,,,
911748,4/11/2004,TX,,F,Texas Dept. of Insurance,Amusement park,amusement ride,spinning,Swing ride,Wave Swinger,Zierer,4,29,F,Ride unit moved during guest exiting,Pain,,Load/Unload: injured when vehicle moved,,,,Four riders injured same incident
917885,4/11/2004,CA,Anaheim,F,California Division of Occupational Safety and Health,Amusement park,amusement ride,water ride,Flume ride,flume ride,In-house,1,38,U,Guest felt neck and back pain after descending Drop 5 on ***.,,,Body pain (normal motion),,,,
919682,4/11/2004,CA,Gilroy,F,California Division of Occupational Safety and Health,Amusement park,amusement ride,spinning,Swing ride,Wave Swinger,,1,,U,Unknown,Unknown,,Unknown (not enough info),,,,
914001,4/10/2004,NJ,Wildwood,F,New Jersey Dept. of Community Affairs,Amusement park,amusement ride,coaster,Coaster - steel,Zyklon,Pinfari,0,,U,"No parts broke, had a block activation, car stop in brake 7, brake 6 and at bottom of lift hill. Guest were removed from car on lift hill and walked off of ride without incident.",,,Unscheduled stop,1,,,Inadvertent Rider Mishap
914002,4/10/2004,NJ,South Toms River,F,New Jersey Dept. of Community Affairs,Amusement park,amusement ride,cars & track rides,Bumper car,bumper cars,SDS,1,8,F,Shoulder strap worn by guest rubbed against her neck during the ride and caused a slight abrasion on her neck. Was treated by local EMS and released.,,,Seatbelt abrasion or bruising,,,,Inadvertent Rider Mishap
914003,4/10/2004,NJ,Pt. Pleasant Beach,F,New Jersey Dept. of Community Affairs,Amusement park,amusement ride,spinning,Plane/jet/helicopter,Mini Jet,Zamperla,1,4,M,"Grandfather stated patron was getting out of the Helicopter. The helicopter door hit the back of patron's head. The operator called a manager, manager called for first aid. First aid took a look at it, refused first aid, then managers distriputed a band aid.",,,Load/Unload: hit or pinched by restraint,,,,Inadvertent Rider Mishap
914004,4/10/2004,NJ,Pt. Pleasant Beach,F,New Jersey Dept. of Community Affairs,Amusement park,amusement ride,spinning,Spinning cups/tubs,Dizzy Dragons,Sellner,1,13,F,"Patron states she opened the door of the dizzy dragons and her finger was crunched between the door and the body of dragon. Ice given, will follow up with her own doctor. (no first aid).",Finger injury.,,Load/Unload: hit or pinched by restraint,,,,Inadvertent Rider Mishap
918682,4/10/2004,CA,Ontario,F,California Division of Occupational Safety and Health,Family entertainment center,amusement ride,spinning,Sizzler/scrambler,Scrambler,Eli Bridge Co.,1,10,M,Guest was stepping onto the 1st step of the Scrambler when his foot slipped off and he hit his head on the step.,head injury,,Load/Unload: scrape or stumble,,,,
912378,4/9/2004,MI,Taylor,P,Michigan Dept. of Labor and Economic Growth,Carnival or rental,amusement ride,pendulum,Pirate ship,Pirate Ship,,1,10,F,Uncle was riding with niece. He looked over and said she seemed to be blacking out.  He said he shook her and her nose began to bleed.,"Loss of consciousness, nose bleed",,Illness: Seizure or LOC,,,,
917315,4/9/2004,CA,Anaheim,F,California Division of Occupational Safety and Health,Amusement park,amusement ride,coaster,Coaster - steel,looping coaster,Intamin AG,1,25,M,Guest alleges that restraint hit him while boarding and chipped his tooth.,chipped tooth,,Load/Unload: hit or pinched by restraint,,,,
919658,4/9/2004,CA,Los Angeles,F,California Division of Occupational Safety and Health,Amusement park,amusement ride,coaster,Coaster - steel,Floorless coaster,Bolliger & Mabillard,1,21,F,Fatal injury to employee prior to the attraction opening to the public.  The woman was performing a routine safety inspection when she was struck during a test run. Investigators believe that she walked across the ride's track instead of using an exit gate.,Fatality,,Employee injured,,1,1,"State inspectors ordered the park to install fencing around the entrance of the brake zone that is in the ride envelope, enhance training documentation, and retrain operators on the new procedures."
912064,4/8/2004,FL,Dania Beach,F,Florida Dept. of Agriculture,Family entertainment center,recreation,go-kart,Go-kart,go kart,,1,23,M,"On April 8, a 23 year old male complained of neck and back pain after he repeatedly drove his go-kart into the track rails and would not stop when directed to do so by the operator at Festival Fun Parks in Dania Beach.",Neck and back pain.,,Collision: go-kart or bumper car hit stationary object,,,,No discrepancies were found upon follow up inspection.
917555,4/8/2004,CA,Anaheim,F,California Division of Occupational Safety and Health,Amusement park,amusement ride,coaster,Coaster - steel,Mine Train,Arrow Dynamics,1,42,F,Patron was jostled during the ride and became nauseated. Patron's husband relates a history of passing out and that the patron takes seizure medication. Normal ride operation,,,Illness: Seizure or LOC,,,,
